Scheme,NodeCount,ExecutionTime,CW,Result-Throughput,Result-MeanPacketDelay,Result-CollisionProbability
CSMA-Uniform,5,60,32,111.3,349142,0.920050761
CSMA-Uniform,5,60,64,185.3333333,167537,0.804774862
CSMA-Uniform,5,60,128,232.45,112209,0.647180836
CSMA-Uniform,10,60,32,1.75,51346115,0.999479045
CSMA-Uniform,10,60,64,17.1,5697604,0.99353154
CSMA-Uniform,10,60,128,75,1227641,0.958134994
CSMA-Uniform,15,60,32,0.033333333,282203001,0.999974036
CSMA-Uniform,15,60,64,1.5,77683180,0.999614892
CSMA-Uniform,15,60,128,19.08333333,7653025,0.993122914
CSMA-Uniform,20,60,32,0.016666667,497271675,0.999982977
CSMA-Uniform,20,60,64,0.166666667,167339349,0.999956681
CSMA-Uniform,20,60,128,4.15,44123129,0.998883368
CSMA-Uniform,25,60,32,0.016666667,16886,0.999982483
CSMA-Uniform,25,60,64,0.016666667,40630065,0.999990095
CSMA-Uniform,25,60,128,0.766666667,182986571,0.99981503
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,NodeCount,32CW,64CW,128CW,,
,5,111.3,185.3333333,232.45,,
,10,1.75,17.1,75,,
,15,0.033333333,1.5,19.08333333,,
,20,0.016666667,0.166666667,4.15,,
,25,0.016666667,0.016666667,0.766666667,,
